timestamp,value
0.0,7.25531914893617
5.0,13.27659574468085
10.0,14.957446808510639
15.0,16.361702127659573
20.0,23.595744680851062
25.0,22.606382978723403
30.0,25.4468085106383
35.0,29.23404255319149
40.0,27.617021276595743
45.0,32.59574468085106
50.0,29.25531914893617
55.0,36.276595744680854
60.0,34.776595744680854
65.0,40.62765957446808
70.0,39.47872340425532
75.0,44.46808510638298
80.0,43.829787234042556
85.0,44.734042553191486
90.0,44.287234042553195
95.0,48.680851063829785
100.0,50.319148936170215
105.0,49.319148936170215
110.0,53.6063829787234
115.0,51.51063829787234
120.0,50.6063829787234
125.0,46.03191489361702
130.0,37.09574468085106
135.0,26.074468085106382
140.0,16.20212765957447
145.0,2.024390243902439
