timestamp,value
0.0,25.75531914893617
5.0,25.75531914893617
10.0,29.46808510638298
15.0,29.46808510638298
20.0,45.11702127659574
25.0,45.11702127659574
30.0,53.02127659574468
35.0,53.02127659574468
40.0,58.212765957446805
45.0,58.212765957446805
50.0,62.37234042553192
55.0,62.37234042553192
60.0,68.07446808510639
65.0,68.07446808510639
70.0,72.36170212765957
75.0,72.36170212765957
80.0,76.43010752688173
85.0,76.43010752688173
90.0,79.40860215053763
95.0,79.40860215053763
100.0,82.08602150537635
105.0,82.08602150537635
110.0,86.24731182795699
115.0,86.24731182795699
120.0,89.2258064516129
125.0,89.2258064516129
130.0,91.18085106382979
135.0,91.18085106382979
140.0,92.81720430107526
145.0,92.81720430107526
150.0,91.0

