timestamp,value
0.0,4.985713251827386
5.0,9.426275894321613
10.0,10.10556702826001
15.0,10.158410329597634
20.0,10.15618579991986
25.0,9.908389427514605
30.0,6.1662695978744155
35.0,8.720883350781374
40.0,8.599583033330635
45.0,2.613938438706829
50.0,3.9943256548899186
55.0,4.3576560793717025
60.0,4.337053607403156
65.0,4.140470853440968
70.0,3.806603609085211
75.0,3.7444132606344005
80.0,4.234967361198894
85.0,6.408039818211803
90.0,6.3095028479747866
95.0,4.047692239821071
100.0,2.7866102344089616
105.0,2.7088892960538793
110.0,2.6691044109576114
115.0,2.6017467668025365
120.0,2.641624063041537
125.0,2.2059856920732717
130.0,2.192225009011579
135.0,2.4059856920732717
140.0,2.692225009011579
145.0,2.292225009011579
