timestamp,value
0.0,13.21875
5.0,14.03125
10.0,16.5625
15.0,24.760416666666668
20.0,21.541666666666668
25.0,25.114583333333332
30.0,22.458333333333332
35.0,26.729166666666668
40.0,27.75
45.0,27.458333333333332
50.0,29.958333333333332
55.0,33.114583333333336
60.0,33.21875
65.0,33.25
70.0,35.65625
75.0,38.25
80.0,39.71875
85.0,39.302083333333336
90.0,42.427083333333336
95.0,42.770833333333336
100.0,43.125
105.0,42.208333333333336
110.0,43.46875
115.0,40.59375
120.0,38.822916666666664
125.0,29.395833333333332
130.0,22.75
135.0,14.479166666666666
140.0,2.7142857142857144
145.0,1.0
